,Date,Eclipse Time,Eclipse Type,Latitude,Longitude
10234,2248 September 4,01:38:56,N,8S,22W
10235,2248 October 3,15:52:04,Nb,5N,121E
10236,2249 February 28,03:04:45,P,9N,40W
10237,2249 August 24,02:22:14,P,12S,32W
10238,2250 February 17,18:58:32,T-,12N,81E
10239,2250 August 13,04:39:38,T+,15S,66W
10240,2251 February 7,07:45:40,P,15N,111W
10241,2251 August 2,13:53:15,P,17S,155E
10242,2251 December 28,19:12:49,N,25N,75E
10243,2252 June 22,22:33:27,P,24S,25E
10244,2252 December 16,18:18:41,P,24N,87E
10245,2253 June 12,14:57:11,T-,23S,138E
10246,2253 December 5,21:55:59,T+,22N,31E
10247,2254 June 2,02:24:40,P,21S,34W
10248,2254 November 25,08:54:59,P,20N,135W
10249,2255 April 22,14:36:07,N,13S,143E
10250,2255 May 22,06:33:13,N,19S,96W
10251,2255 October 16,15:04:25,N,10N,132E
10252,2255 November 15,00:24:34,N,17N,7W
10253,2256 April 10,15:31:04,P,9S,130E
10254,2256 October 5,04:57:13,P,5N,75W
10255,2257 March 30,22:36:42,T+,4S,24E
10256,2257 September 24,12:27:34,T-,1N,174E
10257,2258 March 20,12:10:19,P,1N,178W
10258,2258 September 13,13:39:53,P,4S,157E
10259,2259 February 8,17:51:42,N,14N,98E
10260,2259 March 10,04:19:51,N,6N,59W
10261,2259 August 4,02:02:00,N,16S,27W
10262,2259 September 2,14:47:56,Nb,9S,141E
10263,2260 January 29,04:55:22,P,18N,68W
10264,2260 July 23,13:17:09,T,19S,165E
10265,2261 January 17,08:40:06,T+,21N,125W
10266,2261 July 13,05:36:18,T,22S,80W
10267,2262 January 6,07:45:00,P,23N,112W
10268,2262 June 3,14:20:47,N,21S,147E
10269,2262 July 2,22:31:30,N,24S,26E
10270,2262 November 26,19:06:54,N,20N,73E
10271,2262 December 26,09:43:59,N,25N,144W
10272,2263 May 23,23:46:25,P,20S,5E
10273,2263 November 16,07:52:13,P,18N,119W
10274,2264 May 12,02:08:52,T+,18S,31W
10275,2264 November 4,23:52:49,T-,16N,0E
10276,2265 May 1,02:38:34,P,16S,38W
