,Date,Eclipse Time,Eclipse Type,Latitude,Longitude
11430,2749 October 18,03:21:40,T+,10N,43W
11431,2750 April 13,23:06:26,P,10S,25E
11432,2750 October 7,19:51:22,P,6N,70E
11433,2751 March 4,07:00:48,N,8N,90W
11434,2751 August 29,00:44:37,N,10S,1E
11435,2752 February 21,15:42:15,P,11N,139E
11436,2752 August 17,06:45:06,T,13S,88W
11437,2753 February 10,06:03:22,T-,14N,76W
11438,2753 August 6,07:32:44,T,16S,100W
11439,2754 January 30,21:42:08,P,17N,49E
11440,2754 June 26,22:48:44,Ne,25S,31E
11441,2754 July 26,10:12:00,N,18S,140W
11442,2754 December 21,19:03:15,N,25N,85E
11443,2755 June 16,11:39:21,P,24S,163W
11444,2755 December 10,20:54:39,P,23N,56E
11445,2756 June 5,04:26:06,T+,23S,55W
11446,2756 November 28,20:15:29,T-,21N,64E
11447,2757 May 25,20:31:07,P,20S,63E
11448,2757 November 18,00:35:24,P,18N,1W
11449,2758 April 15,17:28:58,N,11S,109E
11450,2758 May 15,07:26:11,Nb,17S,100W
11451,2758 October 9,03:02:58,N,7N,38W
11452,2758 November 7,12:15:27,N,15N,176W
11453,2759 April 4,18:03:23,P,6S,101E
11454,2759 September 28,19:42:45,P,3N,74E
11455,2760 March 23,18:49:54,T+,1S,91E
11456,2760 September 17,09:40:35,T-,2S,135W
11457,2761 March 13,02:01:39,P,4N,16W
11458,2761 September 6,17:07:18,Nx,7S,115E
11459,2762 February 1,05:14:43,N,16N,64W
11460,2762 March 2,15:33:55,N,9N,141E
11461,2762 July 28,03:24:16,N,18S,37W
11462,2763 January 21,20:23:35,P,19N,68E
11463,2763 July 17,07:43:39,T+,21S,102W
11464,2764 January 11,06:57:46,T+,22N,91W
11465,2764 July 5,19:15:49,P,23S,84E
11466,2764 December 30,10:14:06,P,24N,142W
11467,2765 May 27,04:37:27,N,20S,58W
11468,2765 June 25,11:39:32,N,25S,162W
11469,2765 November 19,15:38:17,N,18N,134E
11470,2765 December 19,09:20:56,N,25N,130W
11471,2766 May 16,19:38:18,P,19S,77E
11472,2766 November 8,22:09:29,P,16N,36E
11473,2767 May 6,04:28:53,T-,17S,56W
11474,2767 October 29,11:31:52,T+,13N,165W
11475,2768 April 24,06:18:26,P,14S,83W
11476,2768 October 18,03:55:36,P,10N,51W
11477,2769 March 14,15:02:24,N,3N,149E
11478,2769 September 8,07:56:48,N,6S,107W
11479,2769 October 7,18:39:36,N,7N,88E
11480,2770 March 4,00:11:40,P,7N,12E
11481,2770 August 28,13:27:15,T,10S,171E
11482,2771 February 21,14:47:55,T-,11N,153E
11483,2771 August 17,14:04:20,T,13S,162E
11484,2772 February 11,06:27:48,P,14N,82W
11485,2772 August 5,17:00:33,N,16S,118E
11486,2773 January 1,03:19:29,N,24N,37W
11487,2773 June 26,19:05:54,P,24S,87E
11488,2773 December 21,04:50:12,P,24N,61W
11489,2774 June 16,12:01:40,T-,23S,168W
11490,2774 December 10,04:10:47,T-,23N,53W
11491,2775 June 6,04:01:54,P,22S,48W
11492,2775 November 29,08:45:58,P,21N,123W
11493,2776 April 26,00:50:25,N,15S,1W
11494,2776 May 25,14:39:01,N,20S,152E
11495,2776 October 19,11:08:55,N,11N,159W
11496,2776 November 17,20:37:54,N,18N,59E
11497,2777 April 15,01:22:23,P,10S,9W
11498,2777 October 9,03:37:45,P,7N,46W
11499,2778 April 4,02:31:48,T+,5S,25W
11500,2778 September 28,17:10:59,T-,2N,112E
11501,2779 March 24,10:14:32,P,1S,140W
11502,2779 September 18,00:04:53,P,3S,10E
11503,2780 February 12,14:04:32,N,13N,164E
11504,2780 March 13,00:09:05,N,4N,13E
11505,2780 August 7,09:56:19,N,15S,135W
11506,2781 February 1,05:07:58,P,17N,62W
11507,2781 July 27,14:38:59,T,19S,154E
11508,2782 January 21,15:23:04,T+,20N,144E
11509,2782 July 17,02:35:28,T,21S,25W
11510,2783 January 10,18:18:02,P,23N,99E
11511,2783 June 7,12:17:27,N,21S,172W
11512,2783 July 6,19:11:10,N,24S,86E
11513,2783 November 30,23:32:00,N,20N,17E
11514,2783 December 30,17:20:31,N,24N,112E
11515,2784 May 27,03:08:54,P,21S,35W
11516,2784 November 19,06:20:13,P,19N,86W
11517,2785 May 16,11:39:40,T-,19S,163W
11518,2785 November 8,19:50:41,T+,17N,70E
11519,2786 May 5,13:19:52,P,17S,171E
11520,2786 October 29,12:07:55,P,14N,174W
11521,2787 March 25,22:56:42,N,1S,30E
11522,2787 April 24,13:54:20,N,14S,163E
11523,2787 September 19,15:14:14,N,2S,143E
11524,2787 October 19,02:29:28,N,11N,29W
11525,2788 March 14,08:36:50,P,3N,114W
11526,2788 September 7,20:12:11,P,6S,69E
11527,2789 March 3,23:29:51,T-,6N,23E
11528,2789 August 27,20:38:53,T+,9S,63E
11529,2790 February 21,15:10:34,P,10N,147E
11530,2790 August 16,23:52:50,P,12S,15E
11531,2791 January 12,11:38:09,N,23N,160W
11532,2791 February 11,02:59:35,N,13N,30W
11533,2791 July 8,02:32:22,P,23S,24W
11534,2792 January 1,12:48:24,P,24N,179W
11535,2792 June 26,19:36:07,T-,23S,80E
11536,2792 December 20,12:11:32,T-,23N,171W
11537,2793 June 16,11:27:20,P,23S,159W
11538,2793 December 9,17:03:55,P,22N,114E
11539,2794 May 7,08:02:01,N,18S,109W
11540,2794 June 5,21:43:55,N,21S,47E
11541,2794 October 30,19:23:28,N,15N,77E
11542,2794 November 29,05:08:06,N,20N,68W
11543,2795 April 26,08:31:28,P,14S,116W
11544,2795 October 20,11:41:11,P,11N,167W
11545,2796 April 14,10:05:56,T+,10S,139W
11546,2796 October 9,00:47:09,T-,6N,2W
11547,2797 April 3,18:20:53,P,5S,98E
11548,2797 September 28,07:07:54,P,1N,96W
11549,2798 February 22,22:50:07,N,9N,33E
11550,2798 March 24,08:36:37,N,0S,115W
11551,2798 August 18,16:31:28,N,12S,126E
11552,2799 February 12,13:50:02,P,13N,168E
11553,2799 August 7,21:37:38,T,16S,50E
11554,2800 February 1,23:47:11,T+,17N,19E
11555,2800 July 27,09:56:36,T,19S,134W
11556,2801 January 21,02:23:42,P,21N,21W
11557,2801 June 17,19:51:48,N,22S,76E
11558,2801 July 17,02:40:12,N,22S,25W
11559,2801 December 11,07:34:19,N,22N,103W
11560,2802 January 10,01:25:15,N,23N,7W
11561,2802 June 7,10:32:24,P,22S,145W
11562,2802 November 30,14:39:15,P,21N,150E
11563,2803 May 27,18:42:59,T-,21S,92E
11564,2803 November 20,04:17:09,T+,20N,55W
11565,2804 May 15,20:15:12,P,20S,68E
11566,2804 November 8,20:26:02,P,17N,62E
11567,2805 April 5,06:45:50,N,5S,87W
11568,2805 May 4,21:08:11,N,17S,55E
11569,2805 September 29,22:36:36,N,2N,32E
11570,2805 October 29,10:25:36,N,15N,148W
11571,2806 March 25,16:54:41,P,1S,121E
11572,2806 September 19,03:03:31,P,2S,34W
11573,2807 March 15,08:04:45,T-,2N,106W
11574,2807 September 8,03:21:14,T+,5S,38W
11575,2808 March 3,23:46:51,P,6N,18E
11576,2808 August 27,06:51:56,P,9S,90W
11577,2809 January 22,19:56:13,N,21N,77E
11578,2809 February 21,11:23:26,N,9N,156W
11579,2809 July 18,09:56:45,P,22S,134W
11580,2810 January 11,20:50:27,P,22N,62E
11581,2810 July 8,03:06:03,T-,23S,32W
11582,2810 December 31,20:18:19,T-,23N,69E
11583,2811 June 27,18:46:47,P,23S,92E
11584,2811 December 21,01:29:09,P,23N,10W
11585,2812 May 17,15:05:07,N,21S,146E
11586,2812 June 16,04:41:48,N,22S,57W
11587,2812 November 10,03:44:37,N,19N,48W
11588,2812 December 9,13:44:30,N,21N,165E
11589,2813 May 6,15:33:47,P,17S,139E
11590,2813 October 30,19:50:33,P,15N,71E
11591,2814 April 25,17:33:04,T+,13S,109E
11592,2814 October 20,08:29:42,T-,10N,118W
11593,2815 April 15,02:21:28,P,9S,22W
11594,2815 October 9,14:17:15,P,6N,156E
11595,2816 March 5,07:31:10,N,5N,97W
11596,2816 April 3,16:58:39,N,4S,120E
11597,2816 August 28,23:13:01,N,8S,25E
11598,2816 September 27,14:42:10,Nb,1N,151E
11599,2817 February 22,22:27:41,P,9N,39E
11600,2817 August 18,04:40:17,P,12S,56W
11601,2818 February 12,08:07:36,T+,14N,106W
11602,2818 August 7,17:20:37,T,16S,115E
11603,2819 February 1,10:26:27,P,18N,140W
11604,2819 June 29,03:22:47,Ne,22S,36W
11605,2819 July 28,10:10:35,P,20S,137W
11606,2819 December 22,15:42:44,N,22N,137E
11607,2820 January 21,09:30:50,N,21N,127W
11608,2820 June 17,17:49:32,P,23S,107E
11609,2820 December 10,23:05:01,P,22N,25E
11610,2821 June 7,01:37:38,T+,23S,11W
11611,2821 November 30,12:51:18,T-,22N,177E
11612,2822 May 27,03:00:29,P,22S,32W
11613,2822 November 20,04:52:39,P,20N,64W
11614,2823 April 16,14:27:27,N,9S,157E
11615,2823 May 16,04:14:42,N,20S,51W
11616,2823 October 11,06:05:12,N,6N,81W
11617,2823 November 9,18:28:33,N,18N,91E
11618,2824 April 5,01:07:10,P,6S,3W
11619,2824 September 29,10:00:55,P,2N,139W
11620,2825 March 25,16:34:39,T-,2S,126E
11621,2825 September 18,10:09:06,T+,1S,140W
11622,2826 March 15,08:18:11,P,1N,110W
11623,2826 September 7,13:57:35,P,5S,163E
11624,2827 February 3,04:12:29,N,18N,46W
11625,2827 March 4,19:41:32,N,5N,80E
11626,2827 July 29,17:23:45,P,19S,115E
11627,2827 August 28,01:05:38,Nb,8S,3W
11628,2828 January 23,04:52:44,P,20N,57W
11629,2828 July 18,10:35:28,T,21S,143W
11630,2829 January 11,04:27:25,T+,22N,52W
11631,2829 July 8,02:03:07,P,22S,16W
11632,2829 December 31,09:58:30,P,22N,136W
11633,2830 May 28,21:58:39,N,23S,43E
11634,2830 June 27,11:33:31,N,22S,159W
11635,2830 November 21,12:13:59,N,21N,174W
11636,2830 December 20,22:26:34,N,22N,36E
11637,2831 May 17,22:27:44,P,20S,36E
11638,2831 November 11,04:07:08,P,18N,53W
11639,2832 May 6,00:53:25,T-,17S,0W
11640,2832 October 30,16:19:38,T-,14N,125E
11641,2833 April 25,10:13:57,P,13S,140W
11642,2833 October 19,21:34:09,P,10N,46E
11643,2834 March 16,16:06:06,N,0N,134E
11644,2834 April 15,01:12:29,N,8S,4W
11645,2834 September 9,06:01:06,N,4S,77W
11646,2834 October 8,21:43:36,N,5N,45E
11647,2835 March 6,06:59:29,P,5N,89W
11648,2835 August 29,11:49:21,P,9S,163W
11649,2836 February 23,16:24:26,T+,10N,131E
11650,2836 August 18,00:46:58,T-,13S,3E
11651,2837 February 11,18:28:15,P,14N,100E
11652,2837 August 7,17:40:59,P,17S,110E
11653,2838 January 1,23:56:51,N,21N,15E
11654,2838 January 31,17:37:23,N,19N,113E
11655,2838 June 29,01:01:07,P,22S,0W
11656,2838 December 22,07:37:16,P,23N,101W
11657,2839 June 18,08:27:21,T+,23S,112W
11658,2839 December 11,21:30:26,T-,23N,49E
11659,2840 June 6,09:42:03,P,23S,132W
11660,2840 November 30,13:24:44,P,22N,169E
11661,2841 April 26,22:02:28,N,13S,43E
11662,2841 May 26,11:15:35,N,22S,156W
11663,2841 October 21,13:40:22,N,10N,165E
11664,2841 November 20,02:38:13,N,21N,30W
11665,2842 April 16,09:12:05,P,10S,124W
11666,2842 October 10,17:06:32,P,6N,114E
11667,2843 April 6,00:55:44,T-,6S,0E
11668,2843 September 29,17:07:01,T+,3N,115E
11669,2844 March 25,16:41:29,P,3S,124E
11670,2844 September 17,21:10:30,P,1S,55E
11671,2845 February 13,12:25:13,N,14N,169W
11672,2845 March 15,03:52:11,N,1N,43W
11673,2845 August 9,00:51:23,N,17S,3E
11674,2845 September 7,08:36:34,N,4S,116W
11675,2846 February 2,12:54:05,P,17N,176W
11676,2846 July 29,18:03:14,T,19S,105E
11677,2847 January 22,12:39:37,T+,20N,174W
11678,2847 July 19,09:16:19,T,20S,123W
11679,2848 January 11,18:31:29,P,21N,97E
11680,2848 July 7,18:21:12,N,21S,100E
11681,2848 December 1,20:49:50,N,23N,59E
11682,2848 December 31,07:13:15,N,22N,94W
11683,2849 May 28,05:14:53,P,22S,65W
11684,2849 November 21,12:30:21,P,21N,177W
11685,2850 May 17,08:08:10,T-,20S,109W
11686,2850 November 11,00:15:59,T-,17N,6E
11687,2851 May 6,18:01:05,P,16S,103E
11688,2851 October 31,04:58:44,P,13N,65W
11689,2852 March 27,00:35:12,N,4S,6E
11690,2852 April 25,09:20:36,N,12S,126W
11691,2852 September 19,12:56:17,N,0N,178E
11692,2852 October 19,04:52:51,N,9N,63W
11693,2853 March 16,15:24:48,P,1N,145E
11694,2853 September 8,19:05:00,P,4S,87E
11695,2854 March 6,00:33:07,T+,6N,8E
11696,2854 August 29,08:19:05,T-,9S,110W
11697,2855 February 23,02:24:08,P,11N,19W
11698,2855 August 19,01:14:47,P,13S,3W
11699,2856 January 13,08:12:54,N,20N,107W
11700,2856 February 12,01:40:49,N,15N,8W
11701,2856 July 9,08:09:01,P,21S,106W
11702,2857 January 1,16:14:14,P,22N,131E
11703,2857 June 28,15:09:08,T+,23S,148E
11704,2857 December 22,06:16:07,T-,23N,81W
11705,2858 June 17,16:16:02,P,24S,131E
11706,2858 December 11,22:03:11,P,24N,41E
11707,2859 May 8,05:30:26,N,16S,68W
11708,2859 June 6,18:11:15,N,24S,101E
11709,2859 November 1,21:23:01,N,13N,50E
11710,2859 December 1,10:54:30,N,23N,153W
11711,2860 April 26,17:11:09,P,13S,116E
11712,2860 October 21,00:18:17,P,10N,6E
11713,2861 April 16,09:11:05,T-,10S,123W
11714,2861 October 10,00:12:28,T-,7N,8E
11715,2862 April 6,00:56:58,P,7S,0E
11716,2862 September 29,04:32:10,P,3N,56W
11717,2863 February 24,20:33:14,N,10N,70E
11718,2863 March 26,11:55:16,N,4S,164W
11719,2863 August 20,08:23:18,N,13S,110W
11720,2863 September 18,16:14:38,N,0S,129E
11721,2864 February 13,20:52:07,P,14N,65E
11722,2864 August 9,01:33:03,T,16S,7W
11723,2865 February 1,20:51:00,T+,17N,65E
11724,2865 July 29,16:27:39,T,18S,130E
11725,2866 January 22,03:06:00,P,19N,30W
11726,2866 July 19,01:05:56,N,20S,0W
11727,2866 December 13,05:31:19,N,24N,70W
11728,2867 January 11,16:01:40,N,20N,135E
11729,2867 June 8,11:56:08,P,24S,164W
11730,2867 December 2,21:00:11,P,23N,57E
11731,2868 May 27,15:16:52,T-,22S,145E
11732,2868 November 21,08:18:53,T+,20N,114W
11733,2869 May 17,01:41:13,P,19S,11W
11734,2869 November 10,12:31:37,P,17N,177W
11735,2870 April 7,08:55:29,N,8S,119W
11736,2870 May 6,17:19:39,N,16S,114E
11737,2870 September 30,20:00:43,N,5N,72E
11738,2870 October 30,12:12:36,N,13N,172W
11739,2871 March 27,23:42:41,P,4S,20E
11740,2871 September 20,02:28:09,P,0S,24W
11741,2872 March 16,08:35:55,T+,1N,112W
11742,2872 September 8,15:55:59,T-,5S,135E
11743,2873 March 5,10:15:36,P,6N,136W
11744,2873 August 29,08:50:19,P,10S,117W
11745,2874 January 23,16:32:19,N,18N,129E
11746,2874 February 22,09:42:48,N,11N,128W
11747,2874 July 20,15:14:11,N,19S,148E
11748,2875 January 13,00:53:41,P,21N,3E
11749,2875 July 9,21:48:44,T,22S,49E
11750,2876 January 2,15:04:42,T-,23N,149E
11751,2876 June 27,22:47:35,P,24S,34E
11752,2876 December 22,06:45:05,P,24N,87W
11753,2877 May 18,12:53:08,Ne,18S,179W
11754,2877 June 17,01:03:49,N,24S,1W
11755,2877 November 12,05:12:17,N,17N,67W
11756,2877 December 11,19:15:31,N,24N,84E
11757,2878 May 8,01:02:06,P,17S,1W
11758,2878 November 1,07:39:31,P,14N,104W
11759,2879 April 27,17:18:01,T+,14S,115E
11760,2879 October 21,07:27:46,T-,11N,101W
11761,2880 April 16,09:03:38,P,11S,121W
11762,2880 October 9,12:03:07,P,7N,169W
11763,2881 March 7,04:34:07,N,6N,51W
11764,2881 April 5,19:48:04,N,8S,78E
11765,2881 August 30,15:58:08,N,9S,136E
11766,2881 September 28,23:59:38,N,4N,12E
11767,2882 February 24,04:46:33,P,10N,53W
11768,2882 August 20,09:04:14,P,12S,120W
11769,2883 February 13,05:01:07,T+,13N,57W
11770,2883 August 9,23:39:02,T+,15S,22E
11771,2884 February 2,11:41:45,P,16N,158W
11772,2884 July 29,07:47:55,N,17S,100W
11773,2884 December 23,14:17:44,N,25N,160E
11774,2885 January 22,00:52:23,N,18N,4E
11775,2885 June 18,18:33:10,Nx,24S,98E
11776,2885 December 13,05:35:06,P,24N,70W
11777,2886 June 7,22:21:31,T-,23S,40E
11778,2886 December 2,16:27:49,T+,22N,125E
11779,2887 May 28,09:17:42,P,21S,125W
11780,2887 November 21,20:10:22,P,19N,69E
11781,2888 April 17,17:09:16,N,12S,117E
11782,2888 May 17,01:13:49,N,18S,4W
11783,2888 October 11,03:14:10,N,9N,37W
11784,2888 November 9,19:40:54,N,16N,76E
11785,2889 April 7,07:51:21,P,8S,102W
11786,2889 September 30,09:59:39,P,4N,137W
11787,2890 March 27,16:28:28,T+,3S,129E
11788,2890 September 19,23:40:17,T-,1S,19E
11789,2891 March 16,17:57:55,P,2N,108E
11790,2891 September 9,16:31:35,P,5S,127E
11791,2892 February 4,00:50:55,N,15N,5E
11792,2892 March 4,17:39:19,N,7N,113E
11793,2892 July 30,22:16:27,N,17S,43E
11794,2892 August 29,07:53:48,N,10S,102W
11795,2893 January 23,09:34:59,P,18N,126W
11796,2893 July 20,04:23:43,T,20S,49W
11797,2894 January 12,23:56:21,T-,21N,18E
11798,2894 July 9,05:14:55,T,22S,62W
11799,2895 January 2,15:31:21,P,23N,143E
11800,2895 June 28,07:53:55,N,24S,102W
11801,2895 November 23,13:07:29,N,19N,175E
11802,2895 December 23,03:40:24,N,25N,41W
11803,2896 May 18,08:48:25,P,19S,117W
11804,2896 November 11,15:07:55,P,17N,145E
11805,2897 May 8,01:17:49,T+,17S,5W
11806,2897 October 31,14:52:00,T-,14N,148E
11807,2898 April 27,17:02:17,P,15S,119E
11808,2898 October 20,19:43:17,P,11N,75E
11809,2899 March 18,12:27:24,N,2N,169W
11810,2899 April 17,03:32:15,N,12S,38W
11811,2899 September 10,23:39:29,N,5S,21E
11812,2899 October 10,07:53:10,N,8N,107W
11813,2900 March 7,12:35:27,P,6N,171W
11814,2900 August 31,16:38:06,P,9S,127E
11815,2901 February 24,13:07:56,T+,9N,179W
11816,2901 August 21,06:51:31,T+,12S,86W
11817,2902 February 13,20:14:30,P,13N,75E
11818,2902 August 10,14:30:31,P,14S,159E
11819,2903 January 4,23:07:17,N,24N,30E
11820,2903 February 3,09:41:43,N,15N,127W
11821,2903 July 1,01:07:21,N,24S,0E
11822,2903 December 25,14:13:38,P,24N,162E
11823,2904 June 19,05:22:46,T,24S,64W
11824,2904 December 14,00:42:23,T+,23N,3E
11825,2905 June 8,16:47:10,T,22S,124E
11826,2905 December 3,03:57:28,P,21N,47W
11827,2906 April 30,01:14:13,N,16S,4W
11828,2906 May 29,09:00:23,N,20S,120W
11829,2906 November 22,03:18:35,N,19N,38W
11830,2907 April 19,15:51:24,P,12S,137E
11831,2907 October 12,17:40:09,P,8N,107E
11832,2908 April 8,00:13:40,T+,7S,13E
11833,2908 October 1,07:29:50,T+,3N,99W
11834,2909 March 28,01:34:29,P,2S,7W
11835,2909 September 21,00:16:53,P,1S,10E
11836,2910 February 15,09:08:12,N,11N,119W
11837,2910 March 17,01:30:26,N,3N,5W
11838,2910 August 12,05:19:18,N,14S,63W
11839,2910 September 10,15:19:19,N,6S,146E
11840,2911 February 4,18:15:58,P,15N,105E
11841,2911 August 1,10:59:11,P,17S,147W
11842,2912 January 25,08:47:30,T-,19N,114W
11843,2912 July 20,11:43:06,T,21S,158W
11844,2913 January 14,00:18:24,P,22N,13E
11845,2913 July 9,14:42:35,N,23S,157E
11846,2913 December 4,21:09:04,N,21N,56E
11847,2914 January 3,12:08:10,N,24N,166W
11848,2914 May 30,16:28:18,P,21S,129E
11849,2914 November 23,22:44:30,P,20N,31E
11850,2915 May 20,09:10:06,T+,20S,122W
11851,2915 November 12,22:26:46,T-,18N,35E
11852,2916 May 9,00:51:40,P,18S,2E
11853,2916 November 1,03:32:55,P,15N,42W
11854,2917 March 29,20:11:52,N,2S,75E
11855,2917 April 28,11:05:50,N,15S,152W
11856,2917 September 22,07:26:14,N,1S,97W
11857,2917 October 21,15:55:02,N,12N,133E
11858,2918 March 18,20:16:49,P,1N,74E
11859,2918 September 12,00:16:22,P,5S,12E
11860,2919 March 7,21:11:15,T+,5N,61E
11861,2919 September 1,14:05:41,T+,8S,165E
11862,2920 February 25,04:45:31,P,9N,53W
11863,2920 August 20,21:13:30,P,11S,58E
11864,2921 January 15,07:59:27,N,22N,102W
11865,2921 February 13,18:30:10,N,12N,101E
11866,2921 July 11,07:38:47,N,23S,96W
11867,2922 January 4,22:55:38,P,23N,33E
11868,2922 June 30,12:22:26,T,23S,168W
11869,2922 December 25,08:59:41,T+,23N,119W
11870,2923 June 20,00:15:08,T,23S,13E
11871,2923 December 14,11:49:27,P,22N,163W
11872,2924 May 10,09:12:12,N,19S,123W
11873,2924 June 8,16:42:16,N,22S,126E
11874,2924 December 2,11:03:33,N,21N,153W
11875,2925 April 29,23:42:01,P,15S,20E
11876,2925 October 23,01:29:54,P,12N,10W
11877,2926 April 19,07:46:46,T-,11S,101W
11878,2926 October 12,15:28:29,T+,8N,141E
11879,2927 April 8,09:00:57,P,7S,118W
11880,2927 October 2,08:08:17,P,3N,108W
11881,2928 February 26,17:21:42,N,7N,118E
11882,2928 March 27,09:14:32,N,2S,121W
11883,2928 August 22,12:22:23,N,10S,169W
11884,2928 September 20,22:48:32,N,2S,33E
11885,2929 February 15,02:55:11,P,12N,25W
11886,2929 August 11,17:32:45,P,14S,115E
11887,2930 February 4,17:39:03,T-,16N,115E
11888,2930 July 31,18:10:59,T-,18S,106E
11889,2931 January 25,09:05:59,P,20N,118W
11890,2931 July 20,21:32:13,P,21S,56E
11891,2931 December 16,05:16:05,N,22N,64W
11892,2932 January 14,20:38:00,N,23N,69E
11893,2932 June 10,00:03:59,P,22S,16E
11894,2932 December 4,06:27:49,P,21N,83W
11895,2933 May 30,16:56:40,T+,22S,122E
11896,2933 November 23,06:10:08,T-,20N,80W
11897,2934 May 20,08:33:11,P,21S,113W
11898,2934 November 12,11:32:00,P,18N,161W
11899,2935 April 10,03:47:50,N,7S,40W
11900,2935 May 9,18:31:22,N,19S,97E
11901,2935 October 3,15:19:37,N,3N,145E
11902,2935 November 2,00:04:20,N,16N,11E
11903,2936 March 29,03:51:11,P,3S,40W
11904,2936 September 22,07:59:30,P,1S,105W
11905,2937 March 18,05:07:34,T+,1N,59W
11906,2937 September 11,21:23:18,T+,4S,55E
11907,2938 March 7,13:11:04,P,5N,179W
11908,2938 September 1,04:00:13,P,7S,43W
11909,2939 January 26,16:50:38,N,20N,127E
11910,2939 February 25,03:13:32,N,8N,30W
11911,2939 July 22,14:10:52,N,21S,166E
11912,2940 January 16,07:38:56,P,22N,96W
11913,2940 July 10,19:20:01,T,22S,89E
11914,2941 January 4,17:20:48,T+,23N,117E
11915,2941 June 30,07:38:52,T,23S,97W
11916,2941 December 24,19:47:18,P,23N,79E
11917,2942 May 21,17:01:36,N,22S,121E
11918,2942 June 20,00:18:29,N,22S,13E
11919,2942 December 13,18:56:57,N,22N,91E
11920,2943 May 11,07:24:37,P,19S,95W
11921,2943 November 3,09:27:52,P,16N,130W
11922,2944 April 29,15:12:15,T-,15S,148E
11923,2944 October 22,23:33:47,T+,12N,19E
11924,2945 April 18,16:19:09,P,11S,132E
11925,2945 October 12,16:05:42,P,7N,132E
11926,2946 March 9,01:31:32,N,3N,4W
11927,2946 April 7,16:52:13,N,6S,125E
11928,2946 September 2,19:28:48,N,6S,84E
11929,2946 October 2,06:23:37,N,2N,81W
11930,2947 February 26,11:30:31,P,8N,153W
11931,2947 August 23,00:10:11,P,11S,15E
11932,2948 February 16,02:27:42,T-,12N,17W
11933,2948 August 11,00:41:12,T-,15S,8E
11934,2949 February 4,17:51:55,P,17N,112E
11935,2949 July 31,04:23:42,P,19S,47W
11936,2949 December 26,13:26:38,N,22N,175E
11937,2950 January 25,05:06:25,N,20N,57W
11938,2950 June 21,07:35:21,P,22S,96W
11939,2950 December 15,14:18:10,P,22N,161E
11940,2951 June 11,00:37:15,T+,23S,8E
11941,2951 December 4,14:01:47,T-,22N,164E
11942,2952 May 30,16:06:21,P,22S,135E
11943,2952 November 22,19:40:25,P,21N,78E
11944,2953 April 20,11:12:26,N,10S,151W
11945,2953 May 20,01:45:10,N,21S,10W
11946,2953 October 13,23:20:11,N,7N,24E
11947,2953 November 12,08:22:40,N,19N,113W
11948,2954 April 9,11:16:53,P,7S,151W
11949,2954 October 3,15:48:15,P,4N,138E
11950,2955 March 29,12:58:25,T+,3S,176W
11951,2955 September 23,04:45:05,T-,0N,56W
11952,2956 March 17,21:33:02,P,0N,55E
11953,2956 September 11,10:48:39,P,3S,146W
11954,2957 February 6,01:42:04,N,17N,5W
11955,2957 March 7,11:54:01,N,4N,160W
11956,2957 August 1,20:43:50,N,19S,69E
11957,2957 August 31,11:32:50,N,7S,156W
11958,2958 January 26,16:21:51,P,19N,135E
11959,2958 July 22,02:19:20,P,20S,15W
11960,2959 January 16,01:42:19,T+,21N,7W
11961,2959 July 11,15:02:55,T+,22S,153E
11962,2960 January 5,03:46:50,P,22N,39W
11963,2960 June 1,00:45:28,Ne,24S,6E
11964,2960 June 30,07:52:16,P,22S,100W
11965,2960 December 24,02:55:37,N,22N,27W
11966,2961 May 21,14:56:55,P,21S,152E
11967,2961 November 13,17:35:24,P,19N,109E
11968,2962 May 10,22:26:26,T-,18S,40E
11969,2962 November 3,07:47:44,T+,15N,104W
11970,2963 April 29,23:27:36,P,14S,25E
11971,2963 October 24,00:10:50,P,11N,11E
11972,2964 March 19,09:35:34,N,1S,125W
11973,2964 April 18,00:21:54,N,10S,12E
11974,2964 September 13,02:37:10,N,2S,23W
11975,2964 October 12,14:03:43,N,7N,163E
11976,2965 March 8,20:02:09,P,4N,79E
11977,2965 September 2,06:49:42,P,7S,85W
11978,2966 February 26,11:12:54,T-,9N,148W
11979,2966 August 22,07:15:12,T-,11S,90W
11980,2967 February 16,02:35:56,P,13N,18W
11981,2967 August 11,11:18:05,P,16S,150W
11982,2968 January 6,21:40:03,N,21N,53E
11983,2968 February 5,13:34:06,N,17N,177E
11984,2968 July 1,15:04:44,N,22S,153E
11985,2968 July 30,22:36:40,Nb,19S,41E
11986,2968 December 25,22:13:36,P,22N,44E
11987,2969 June 21,08:12:26,T,23S,105W
11988,2969 December 14,22:00:51,T-,23N,46E
11989,2970 June 10,23:33:32,T,23S,24E
11990,2970 December 4,03:55:41,P,23N,44W
11991,2971 May 31,08:52:28,N,23S,116W
11992,2971 October 25,07:28:21,N,11N,98W
11993,2971 November 23,16:48:05,N,21N,122E
11994,2972 April 19,18:34:31,P,11S,99E
11995,2972 October 13,23:42:46,P,8N,19E
11996,2973 April 8,20:41:47,T+,8S,68E
11997,2973 October 3,12:12:54,T-,4N,168W
11998,2974 March 29,05:46:43,P,4S,68W
11999,2974 September 22,17:44:13,P,1N,110E
12000,2975 February 17,10:30:03,N,13N,136W
12001,2975 March 18,20:27:49,N,0S,72E
12002,2975 August 13,03:19:41,N,16S,30W
12003,2975 September 11,18:13:12,N,3S,103E
12004,2976 February 7,01:03:02,P,16N,5E
12005,2976 August 1,09:19:40,P,18S,120W
